sat_neo6m,lon_neo6m,lat_neo6m,hdop_neo6m,sat_sim28m,lon_sim28m,lat_sim28m,hdop_sim28m,distance,status
4,104.764122,-2.913845,1.65,5,104.764137,-2.913897,1.52,6.02,0
4,104.764122,-2.913845,1.65,5,104.764137,-2.913897,1.52,6.02,0
4,104.764130,-2.913853,1.65,5,104.764137,-2.913897,1.52,4.87,1
4,104.764145,-2.913863,1.65,5,104.764137,-2.913897,1.52,3.83,1
4,104.764137,-2.913864,1.61,5,104.764137,-2.913897,1.52,3.66,1
4,104.764145,-2.913864,1.61,5,104.764137,-2.913897,1.52,3.73,1
4,104.764145,-2.913876,1.61,5,104.764137,-2.913903,1.52,3.17,1
4,104.764153,-2.913879,1.61,5,104.764145,-2.913913,1.52,3.89,1
4,104.764153,-2.913882,1.61,5,104.764145,-2.913918,1.52,4.14,1
4,104.764153,-2.913883,1.61,5,104.764153,-2.913927,1.52,4.88,1
4,104.764137,-2.913871,1.61,5,104.764160,-2.913933,1.52,7.35,0
4,104.764137,-2.913868,1.61,6,104.764160,-2.913937,1.35,8.00,0
4,104.764137,-2.913865,1.61,6,104.764168,-2.913945,1.35,9.51,0
4,104.764145,-2.913863,1.61,6,104.764175,-2.913952,1.35,10.43,0
4,104.764145,-2.913863,1.61,6,104.764175,-2.913952,1.35,10.43,0
4,104.764145,-2.913863,1.61,6,104.764175,-2.913952,1.35,10.43,0
4,104.764145,-2.913863,1.61,6,104.764175,-2.913952,1.35,10.43,0
4,104.764145,-2.913863,1.61,6,104.764175,-2.913952,1.35,10.43,0
4,104.764130,-2.913846,1.61,7,104.764175,-2.913952,0.99,12.78,0
4,104.764122,-2.913844,1.61,7,104.764175,-2.913952,0.99,13.35,0
3,104.764130,-2.913845,2.55,7,104.764175,-2.913952,0.99,12.87,0
3,104.764122,-2.913850,2.55,7,104.764175,-2.913952,0.99,12.74,0
3,104.764122,-2.913855,2.55,7,104.764175,-2.913952,0.99,12.32,0
4,104.764114,-2.913858,1.61,7,104.764175,-2.913952,0.99,12.39,0
3,104.764114,-2.913866,2.55,7,104.764175,-2.913952,1.01,11.71,0
3,104.764114,-2.913870,2.55,7,104.764168,-2.913922,1.01,8.25,0
3,104.764122,-2.913874,2.56,7,104.764160,-2.913918,0.99,6.46,0
4,104.764122,-2.913879,1.61,7,104.764160,-2.913918,0.99,6.05,0
4,104.764130,-2.913882,1.61,7,104.764160,-2.913918,0.99,5.25,0
3,104.764137,-2.913886,2.56,7,104.764160,-2.913918,0.99,4.43,0
3,104.764137,-2.913886,2.56,8,104.764160,-2.913918,0.91,4.43,0
3,104.764137,-2.913886,2.56,8,104.764160,-2.913918,0.91,4.43,0
3,104.764137,-2.913886,2.56,8,104.764160,-2.913918,0.91,4.43,0
3,104.764137,-2.913886,2.56,8,104.764160,-2.913918,0.91,4.43,0
3,104.764145,-2.913891,2.56,8,104.764160,-2.913918,0.91,3.47,0
3,104.764145,-2.913874,2.56,8,104.764160,-2.913918,0.91,5.22,0
4,104.764137,-2.913862,1.61,8,104.764160,-2.913918,0.91,6.80,0
4,104.764137,-2.913857,1.61,8,104.764160,-2.913918,0.91,7.32,0
4,104.764137,-2.913850,1.61,8,104.764160,-2.913918,0.91,8.05,0
4,104.764130,-2.913846,1.61,8,104.764160,-2.913918,0.91,8.77,0
3,104.764137,-2.913848,2.57,9,104.764160,-2.913918,0.80,8.23,0
3,104.764145,-2.913852,2.57,9,104.764160,-2.913918,0.80,7.59,0
3,104.764137,-2.913858,2.57,9,104.764160,-2.913918,0.80,7.20,0
4,104.764145,-2.913859,1.61,9,104.764160,-2.913918,0.80,6.79,0
4,104.764145,-2.913860,1.61,9,104.764160,-2.913918,0.80,6.69,0
4,104.764137,-2.913869,1.61,9,104.764160,-2.913918,0.80,6.03,0
4,104.764137,-2.913869,1.61,10,104.764160,-2.913918,0.75,6.03,0
4,104.764137,-2.913869,1.61,10,104.764160,-2.913918,0.75,6.03,0
4,104.764137,-2.913869,1.61,10,104.764160,-2.913918,0.75,6.03,0
4,104.764137,-2.913869,1.61,10,104.764160,-2.913918,0.75,6.03,0
4,104.764145,-2.913871,1.61,10,104.764160,-2.913918,0.75,5.57,0
4,104.764145,-2.913871,1.61,10,104.764160,-2.913918,0.75,5.49,0
4,104.764145,-2.913872,1.61,10,104.764160,-2.913918,0.75,5.42,0
4,104.764145,-2.913875,1.62,10,104.764160,-2.913918,0.75,5.09,0
4,104.764145,-2.913881,1.62,10,104.764160,-2.913918,0.75,4.52,1
4,104.764153,-2.913885,1.62,10,104.764160,-2.913918,0.75,3.81,1
4,104.764153,-2.913889,1.62,10,104.764160,-2.913918,0.75,3.37,1
4,104.764160,-2.913897,1.62,10,104.764160,-2.913918,0.75,2.41,1
